id,view_count,score,answer_count,comment_count,first_response_time(minutes)
65526429,60,0,1,1,424.16288333333335
65526430,67,1,1,1,89.17838333333333
65526459,155,-1,3,9,240.053
65526500,1122,2,1,0,157.04505
65526503,311,0,1,10,719.84745
65526535,391,3,2,1,1253.0667333333333
65526543,81,1,2,0,20.329833333333333
65526591,123,0,2,1,5.358716666666667
65526624,19,0,1,0,14.854333333333333
65526633,39,0,1,0,366.12688333333335
65526709,195,1,1,0,23.873616666666667
65526724,30,0,2,0,8.731733333333333
65526746,69,2,3,0,4.746783333333333
65526767,164,1,2,1,37.956716666666665
65526804,512,0,3,3,67.53588333333333
65526864,43,4,1,0,13.27595
65526916,213,0,1,2,20.2479
65526963,49,0,1,0,26.052783333333334
65527007,184,0,1,1,41.17561666666667
65527024,213,0,1,1,114.22233333333334
65527059,132,1,2,0,22.524166666666666
65527098,88,1,1,9,147.42023333333333
65527107,96,0,1,0,5.244833333333333
65527112,42,0,1,4,7.31855
65527125,69,3,1,5,44.77616666666667
65527158,60,0,1,5,162.53495
65527177,195,-1,1,7,4731.624
65527204,52,-1,2,5,7.845116666666667
65527233,193,0,1,6,427.7382333333333
65527244,167,1,1,3,35.29905
65527299,69,0,1,0,219.72776666666667
65527305,105,0,1,1,18.55005
65527314,46,0,1,1,4811.370383333333
65527354,606,9,4,2,2.8381666666666665
65527361,116,0,1,1,656.2778333333333
65527402,39,1,1,0,412.3059333333333
65527416,109,-1,1,0,40.347833333333334
65527427,119,0,1,0,401.2486666666667
65527430,48,0,1,2,759.3536666666666
65527445,59,1,1,0,37.042833333333334
65527454,110,-1,2,2,15.392216666666666
65527482,70,2,2,0,53.0129
65527554,36,0,1,1,27.0865
65527575,251,1,1,0,7.7315
65527582,105,0,1,0,71.51876666666666
65527728,49,1,1,2,328.9769
65527744,47,1,1,1,15.63045
65527757,42,1,1,0,6746.46055
65527792,61,1,2,2,5.474933333333333
65527797,76,1,1,1,102.45921666666666
65527866,33,1,1,1,6064.957333333334
65527873,74,1,1,1,18.436383333333332
65527938,52,0,1,3,5.342216666666666
65527958,32,0,1,2,1418.8002833333333
65527967,46,2,2,0,5.114883333333333
65527984,105,1,2,0,109.22176666666667
65528052,57,1,2,2,27.752766666666666
65528065,32,0,1,4,26.543783333333334
65528069,49,2,2,0,6.908216666666666
65528072,132,0,1,0,16.422766666666668
65528074,160,0,1,2,17.2014
65528099,40,0,1,3,51.85333333333333
65528149,30,0,1,0,4.13155
65528192,60,0,3,0,4.9265
65528197,54,0,1,0,6.907783333333334
65528221,52,0,2,4,12.249216666666667
65528235,269,4,1,0,21.777716666666667
65528281,86,1,3,6,4.8634
65528300,201,0,3,0,21.328283333333335
65528348,199,0,3,0,7.45
65528374,112,1,2,1,12.415166666666666
65528395,232,2,2,1,12.879233333333334
65528407,40,0,1,2,157.31906666666666
65528426,347,0,1,0,14.921766666666667
65528466,45,-1,1,0,29.3556
65528491,54,0,1,0,6.414233333333334
65528494,44,0,2,1,14.398116666666667
65528516,231,1,1,0,48819.258233333334
65528568,2483,3,2,2,26.031166666666667
65528603,42,0,1,2,37.5356
65528636,56,0,2,1,4.06395
65528657,47,1,1,0,184.88016666666667
65528675,719,2,1,1,8497.7785
65528695,78,-2,2,3,36.991166666666665
65528712,44,0,1,0,344.68993333333333
65528713,332,0,2,0,5168.383666666667
65528719,131,1,1,0,45.88921666666667
65528728,353,0,1,4,56.04005
65528747,52,1,1,0,19.2255
65528751,37,0,1,1,239.75973333333334
65528763,76,2,2,0,5397.691783333334
65528952,65,0,1,1,27.25345
65528983,146,1,1,0,270.3803833333333
65528990,143,0,2,0,19.9269
65529043,2075,0,1,6,45.06171666666667
65529052,28,0,1,0,8.344383333333333
65529067,58,0,1,2,297.33473333333336
65529070,45,0,1,3,14.821666666666667
65529075,84,1,4,9,4.486166666666667
65529156,1008,1,1,0,4428.028283333333
65529210,200,0,1,0,190.98256666666666
65529236,236,1,1,3,100.14683333333333
65529249,150,-1,1,3,51.225
65529276,577,0,2,1,11.979283333333333
65529299,94,0,3,6,13.88695
65529323,33,2,1,6,1474.8186666666666
65529349,73,0,2,3,44.597
65529367,54,0,2,2,12.233766666666666
65529377,124,0,3,4,287.95183333333335
65529419,151,1,3,2,66.13638333333333
65529421,57,0,1,7,127.90845
65529446,79,3,2,13,36.887116666666664
65529456,67,0,2,4,5.842716666666667
65529508,151,0,1,0,2505.3409
65529523,27,0,1,2,131011.34455
65529525,47,1,1,0,4.042933333333333
65529540,20,1,1,0,16.633116666666666
65529545,31,0,1,0,4.001833333333333
65529576,93,0,5,3,15.572333333333333
65529620,60,0,1,2,27.747433333333333
65529703,30,-1,1,2,14.250166666666667
65529723,51,0,1,2,7.0356
65529725,128,0,1,0,111.35188333333333
65529746,147,0,1,2,28.346116666666667
65529788,110,0,1,9,1196.9866
65529808,4553,3,1,3,633.1879
65529853,141,1,1,2,162.58778333333333
65529872,192,0,2,1,14.93905
65529883,85,1,1,4,46.85855
65529897,1241,3,2,0,65831.354
65529935,33,0,1,9,52.135666666666665
65529991,69,2,6,3,11.84055
65530020,53,-5,1,3,3879.2791666666667
65530026,45,1,1,0,74.96561666666666
65530036,43,-2,1,4,17.427233333333334
65530045,115,2,1,0,292.8994
65530054,44,-3,1,3,17.723
65530077,44,1,1,0,7.508216666666667
65530096,111,0,3,1,21.888
65530145,35,1,1,0,1.5086666666666666
65530179,26,1,1,0,72.19638333333333
65530209,212,0,1,0,277.67883333333333
65530214,57,0,1,2,35.45793333333334
65530222,39,0,1,6,33.322716666666665
65530233,160,0,2,0,0.0
65530251,43,0,1,2,67.38388333333333
65530253,65,0,2,4,13.55305
65530260,63,-1,1,6,121.16676666666666
65530261,47,-1,2,2,8.827666666666667
65530269,47,0,1,2,210.3895
65530276,145,-1,2,12,37.22506666666666
65530329,106,1,1,3,20.691433333333332
65530383,108,2,1,3,41.76788333333333
65530457,142,1,4,2,3.6202833333333335
65530475,98,0,1,0,42.376783333333336
65530510,72,1,1,0,121.55105
65530535,42,0,2,7,33.4661
65530554,93,0,1,1,174.5979
65530597,103,0,1,0,1430.1755
65530626,53,0,3,1,7.816666666666666
65530645,60,0,1,0,144.66588333333334
65530677,109,0,1,0,124.85216666666666
65530685,39,0,1,1,9.9466
65530717,36,0,1,1,39.831
65530755,442,1,1,0,1520.7824
65530768,49,-1,1,0,18.673666666666666
65530808,153,1,1,9,411.83255
65530822,870,1,2,0,11.57405
65530847,522,1,1,0,20.10305
65530879,743,0,2,0,14.502
65530951,29,0,1,1,9.9086
65530967,64,0,1,4,75.91588333333333
65530982,42,0,2,3,42.11366666666667
65530986,35,0,3,1,4.9026
65531036,133,0,1,3,571.4262833333333
65531057,62,2,3,1,4.33445
65531066,35,0,1,4,20.6539
65531067,172,0,2,11,98.0885
65531101,65,-2,4,4,11.38405
65531115,26,0,1,0,197.30595
65531127,25,1,1,0,7.80045
65531150,81,0,1,0,198.44628333333333
65531165,37,1,1,0,11.253116666666667
65531184,53,1,1,0,220.75845
65531214,38,1,2,3,7.996666666666667
65531218,82,1,2,2,22.755716666666668
65531241,36,1,1,1,3.9258333333333333
65531243,83,2,2,5,11.695066666666667
65531255,30,0,1,3,5.758666666666667
65531256,91,0,3,1,3.331933333333333
65531277,46,0,1,4,681.7316
65531357,37,0,1,0,7.529166666666667
65531380,130,0,2,0,157.5
65531387,951,5,1,0,208.08521666666667
65531435,38,-1,1,1,9.441733333333334
65531491,23,0,1,1,3.6538333333333335
65531523,86,-2,1,4,58.11355
65531537,180,4,5,2,6.4395
65531558,195,0,1,1,31.3031
65531567,1298,2,2,15,3207.452333333333
65531569,209,0,1,1,234.895
65531581,84,0,1,0,191.11861666666667
65531587,50,-3,2,2,4.222833333333333
65531598,40,0,1,0,5.129216666666666
65531646,41,0,1,4,135.27416666666667
65531669,38,0,2,5,256.3238333333333
65531673,51,0,4,1,23.864
65531711,201,0,1,1,48.01676666666667
65531724,117,1,2,4,602.3436166666667
65531751,44,1,2,1,11.187166666666666
65531787,105,1,1,2,1844.0981666666667
65531810,30,0,1,0,48.42771666666667
65531814,438,1,3,0,245.45555
65531836,35,0,1,4,16.812333333333335
65531842,21,1,1,0,4.584883333333333
65531877,153,-1,1,2,1.8020666666666667
65531900,165,0,1,1,25.833833333333335
65531913,45,2,4,1,4.7862833333333334
65531941,70,0,2,0,14.342066666666666
65532002,2257,6,1,0,12.403883333333333
65532015,68,1,1,0,8.676383333333334
65532022,334,1,2,0,15.171666666666667
65532031,58,0,1,3,109.446
65532070,53,1,1,1,37.724
65532152,551,0,1,1,5.597666666666667
65532162,34,-2,1,5,82.0401
65532189,79,0,1,0,76.66566666666667
65532203,421,0,1,0,89.48633333333333
65532229,55,-1,1,3,77.29983333333334
65532282,26,0,1,0,395.57478333333336
65532292,221,-1,3,5,5.082433333333333
65532307,45,0,1,2,53.97995
65532367,87,0,1,2,808.6531666666667
65532379,323,0,1,4,3639.5007666666666
65532401,30,1,1,2,1042.2363833333334
65532406,48,1,1,0,19.0415
65532430,69,-2,1,0,311.7635
65532436,21,-3,1,1,2.0397833333333333
65532447,47,-1,2,2,5.181383333333334
65532469,39,0,2,1,5.2927333333333335
65532480,56,-2,3,0,1.1213833333333334
65532541,51,-2,2,2,36.5039
65532546,64,-1,1,1,40.923883333333336
65532588,35,0,1,0,151.92255
65532615,72,0,1,1,263.77678333333336
65532623,66,0,1,1,113.37778333333333
65532644,41,-2,1,1,31.127283333333335
65532699,289,0,1,5,211.55
65532728,57,0,1,1,709.2288333333333
65532752,24,0,1,1,8.430933333333334
65532765,186,0,1,0,106.46206666666667
65532767,26,0,1,1,5.5183333333333335
65532772,85,-3,1,4,492.04543333333334
65532776,50,1,2,0,31.3251
65532777,385,0,1,0,23.1116
65532788,63,1,2,0,664.7638333333333
65532799,33,1,1,0,10.636783333333334
65532806,43,-4,1,1,21.70545
65532818,60,0,2,3,2969.07405
65532835,832,1,1,3,110543.83206666667
65532867,20,0,1,0,18.043
65532873,40,0,1,0,7.615216666666667
65532913,10,0,1,0,5.498333333333333
65532917,115,1,1,4,4.756266666666667
65532957,197,0,3,2,11.974283333333334
65533023,20,0,1,0,4.728883333333333
65533035,30,0,1,0,16.999166666666667
65533039,81,0,1,0,135.73011666666667
65533063,49,-2,2,6,16.758
65533092,47,0,1,0,54.723616666666665
65533150,97,-1,4,2,9.209733333333334
65533154,32,1,1,3,300.402
65533180,87,1,1,0,51.232883333333334
65533183,210,1,2,0,62.76955
65533207,119,0,2,4,13.221666666666666
65533234,23,0,1,0,2.8506666666666667
65533258,72,0,1,1,12.3279
